,artist,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album,track_id
17,Żabson,Biznesmen,0.732,0.769,-3.477,0.0338,0.0301,0.0,0.114,0.319,138.053,Passion Fruits,4nmGP4PTzHM71yQIuwFMnU
18,FKA twigs,papi bones (feat. shygirl),0.737,0.629,-6.331,0.287,0.0662,1.29e-05,0.513,0.581,94.997,CAPRISONGS,5W2s4S60GoNsUthU51aUb8
19,Alex Cameron,Stranger's Kiss (Duet with Angel Olsen),0.528,0.73,-5.343,0.0385,0.459,0.0,0.116,0.358,119.938,Forced Witness,7C9XoMfFqmYoKQtWN7OCEH
20,Amadou & Mariam,Sabali,0.596,0.639,-6.546,0.03,0.783,0.569,0.331,0.233,124.012,Welcome To Mali,0jHZ5yXOZNKvtwPGSgL0gX
21,The Kills,Doing It To Death,0.637,0.686,-8.03,0.0568,0.278,0.00702,0.0576,0.652,132.992,Ash & Ice,2hDtkP0ge2Gckcj7qi2NQ2
22,Future Islands,Light House,0.512,0.821,-7.442,0.0334,0.0696,0.335,0.0998,0.4,149.988,Singles,2nWCQC688OgFKIfzk6bqKk
23,Caterina Caselli,Nessuno Mi Può Giudicare,0.464,0.686,-8.145,0.0339,0.743,0.0,0.279,0.819,142.814,Casco D'oro,7zrkOMlUmpdS6COxQykfVU
24,Lecomte De Brégeot,Paris 1985,0.807,0.588,-7.462,0.034,0.00734,0.000594,0.125,0.642,120.017,Paris 1985,71QaSt8styoSuQhCIkKNzW
25,Earl Sweatshirt,Fire in the Hole,0.445,0.769,-6.285,0.157,0.596,0.0,0.147,0.118,137.272,SICK!,77ybhTvFC7kr5IeUqBP2qp
26,Crystal Castles,Celestica,0.551,0.694,-5.81,0.0334,0.0186,0.00936,0.116,0.299,126.0,(II),5QmolkpuE6IfPdr7j2MGn5
27,Crystal Castles,Empathy,0.51,0.914,-5.512,0.0309,0.128,0.459,0.466,0.332,109.97,(II),1L0EA6BegmM4KMwTHmSHux
28,Crystal Castles,Baptism,0.689,0.815,-4.822,0.0422,0.00255,0.55,0.813,0.143,119.965,(II),1Ow9ZsMYJ1XmaXmUeKYJGT
29,Suzi Quatro,Stumblin' In,0.758,0.634,-13.338,0.0324,0.127,0.000431,0.337,0.905,129.29,The Very Best of Suzi Quatro,2NKZe36oAGEpBx26OoBFLj
30,The Doors,Peace Frog,0.641,0.725,-7.376,0.039,0.16,0.00321,0.648,0.808,112.529,Morrison Hotel,5piJiL6aRhvrKBa9YuEfS9
31,M83,New Map,0.294,0.801,-5.831,0.0545,0.000483,0.0621,0.0967,0.204,162.702,"Hurry up, We're Dreaming",5N98oITo8RFhEWClABOjH0
32,Jeanette,¿Porqué te vas?,0.612,0.458,-11.086,0.069,0.427,8.41e-06,0.103,0.961,172.516,Porque Te Vas,11rsK9GDZ9UdWsxtDqnMmN
33,Justin Timberlake,FutureSex / LoveSound,0.853,0.839,-6.311,0.0702,0.117,0.0228,0.111,0.836,105.045,FutureSex/LoveSounds,0B1QILlvPWfc9vovFYuUuk
34,Justin Timberlake,LoveStoned / I Think She Knows (Interlude),0.859,0.681,-6.247,0.0549,0.34,0.000161,0.213,0.852,121.243,FutureSex/LoveSounds,5iyE2d4U3Vc5cqY9mPTlpy
35,JPEGMAFIA,ARE U HAPPY?,0.76,0.816,-3.851,0.357,0.182,0.0,0.214,0.735,135.875,LP!,5zChKVq8kdnWWPbVWezFW8
36,070 Shake,Under The Moon,0.761,0.615,-6.221,0.0399,0.025,0.000642,0.544,0.194,95.093,Modus Vivendi,2IN5IspnDC534fzg16WtWF
37,Arlo Parks,Softly,0.739,0.522,-10.876,0.0355,0.0174,0.00608,0.199,0.214,110.0,Softly,3fpfQC77x3uwESSJ6VmUKM
38,Nigo,Arya (feat. A$AP Rocky),0.958,0.478,-7.669,0.192,0.0823,0.0,0.126,0.379,120.042,Arya,0Rq6JJwpZ9f1SU6Cfhgjv7
39,Rihanna,Higher,0.292,0.567,-4.191,0.0416,0.112,1.01e-06,0.119,0.392,153.199,ANTI (Deluxe),1KnJwhZU3DIBe54Q4HPpIl
40,$NOT,Doja,0.753,0.777,-5.701,0.32,0.0725,0.000714,0.125,0.669,157.148,Doja,3zpGLSQ8QbbUnNjweWPLMD
41,jonatan leandoer96,Under Heaven,0.273,0.501,-12.65,0.038,0.69,2.45e-05,0.383,0.246,121.628,Under Heaven,6BjY7Hyus3KS77QKCV4ioQ
42,Denzel Curry,Walkin,0.557,0.652,-7.219,0.145,0.134,0.0,0.292,0.433,135.999,Walkin,646sbFnyVg1trhqqxqFUJg
43,Thundercat,Walk On By,0.825,0.302,-11.651,0.282,0.204,0.0,0.0762,0.747,94.956,Drunk,6fkL9CjWmjeV6vfDxTp9OZ
44,Labrinth,Forever,0.563,0.459,-7.781,0.0292,0.92,0.724,0.11,0.197,79.983,Euphoria (Original Score from the HBO Series),6potEImiklXkwD9qFzpu15
45,JPEGMAFIA,DAM! DAM! DAM!,0.565,0.772,-6.384,0.372,0.787,0.0,0.584,0.0446,130.355,LP!,5Rt9e9qlDpH2odtSUoMx5W
46,Travis Scott,Piss On Your Grave (feat. Kanye West),0.554,0.54,-5.687,0.0905,0.00793,1.05e-06,0.158,0.162,116.877,Rodeo (Expanded Edition),5H25xsIuRWUI8GwcoAoeSG
47,C418,Alpha,0.297,0.128,-14.477,0.0417,0.876,0.919,0.149,0.0532,128.685,Minecraft - Volume Beta,0RZfz4zLlFb1lNtoEr7yDR
48,O$ka,Kim Basinger,0.553,0.458,-9.179,0.473,0.058,0.0,0.195,0.616,88.109,Kim Basinger,5Lr3Wf3T7UiWPffUx5Y5zd
49,Sudan Archives,Confessions,0.539,0.4,-6.148,0.0386,0.0382,0.000125,0.169,0.269,101.998,Athena,6VIm0mVdo3910eict1h88C
50,Cautious Clay,Erase,0.673,0.641,-9.211,0.0451,0.365,0.000253,0.136,0.467,155.042,Erase,3B5iO2B4HxZDXfmIGrQq9z
51,Skepta,Same Old Story,0.883,0.706,-6.463,0.117,0.0909,0.0,0.158,0.852,135.031,Ignorance is Bliss,6kh17zXl4MM4AzSeJP02hB
52,The Microphones,I Felt Your Shape,0.653,0.325,-12.423,0.0693,0.866,0.034,0.117,0.546,114.021,"The Glow, Pt. 2",1HTR2cbs7Nor722yzYQi63
53,Gábor Szabó,Half the Day Is the Night - Remastered,0.397,0.329,-12.585,0.0278,0.745,0.882,0.189,0.274,96.466,Dreams,4XSI3iFlpthVzeGVpIx2vH
54,Outkast,She Lives in My Lap (feat. Rosario Dawson),0.73,0.88,-3.688,0.0666,0.136,0.13,0.519,0.814,94.295,Speakerboxxx/The Love Below,6vV1NDCjh2afFgQ9Vb7i86
55,Daft Punk,High Life,0.653,0.869,-9.393,0.217,0.00435,0.413,0.334,0.515,125.207,Discovery,098ttCNmncrO4YvqWUNMvn
56,Kendrick Lamar,i,0.541,0.809,-4.286,0.324,0.708,0.0,0.72,0.753,120.094,To Pimp A Butterfly,3ODXRUPL44f04cCacwiCLC
57,Japanese Breakfast,Nobody Sees Me Like You Do,0.604,0.12,-12.964,0.0426,0.975,0.00112,0.227,0.245,84.828,Nobody Sees Me Like You Do,3vGsonmcc2Y7x8BZYKnjhi
58,John Maus,My Whole World's Coming Apart,0.481,0.447,-11.966,0.047,0.0424,0.707,0.109,0.422,180.013,Love Is Real,0hjcjr9kx5J8Mjy2wtYhJq
59,Los Bitchos,Lindsay Goes to Mykonos,0.459,0.781,-5.772,0.0473,0.0577,0.377,0.0845,0.579,101.941,Let the Festivities Begin!,4YUn9dCxEKeCcA6nhtykR4
60,J Dilla,Geek Down,0.595,0.707,-6.564,0.343,0.00528,0.0502,0.293,0.559,92.736,Donuts,3YkI9IyYXFwh3smgfLrH7C
61,Parcels,LIGHT,0.504,0.449,-12.575,0.0452,0.696,0.73,0.107,0.149,102.874,Day/Night,14tNhGhMYj6W5pPfdQoBmN
62,David Guetta,Sexy Bitch (feat. Akon),0.813,0.627,-5.018,0.0486,0.0771,0.000616,0.131,0.801,130.011,One More Love,127uq83uGFapbddqiMUKky
63,Big Thief,Little Things,0.34,0.924,-5.077,0.0347,0.256,0.925,0.248,0.736,96.104,Dragon New Warm Mountain I Believe In You,5ZlfX4evbtQtONINsLADDR
64,Big Thief,Blurred View,0.438,0.47,-10.848,0.294,0.44,0.632,0.102,0.5,152.92,Dragon New Warm Mountain I Believe In You,5MFBgS4j9HMn04mRPrdAr2
65,ROSALÍA,SAOKO,0.827,0.768,-5.702,0.265,0.79,2.45e-05,0.497,0.734,99.988,SAOKO,2J3oaXTqKjGGHCOQLeBnBA
66,Patrick Watson,Je te laisserai des mots,0.303,0.187,-16.757,0.0356,0.989,0.489,0.101,0.213,132.731,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS
67,Four Tet,Two Thousand and Seventeen,0.551,0.469,-8.393,0.0296,0.327,0.161,0.0939,0.498,75.495,New Energy,2ZIaH69kaz55RM4Pjx6KXl
68,Four Tet,Scientists,0.676,0.54,-10.028,0.0356,0.472,0.79,0.0755,0.304,121.967,New Energy,4W7f4EzaVPJfLvmYwls6l6
69,Four Tet,Parallel 1,0.398,0.0501,-17.46,0.0357,0.922,0.918,0.106,0.151,140.003,Parallel,6XOG65nZN3XKmxevGRHZMC
70,Pejzaż,Wisła,0.633,0.466,-12.641,0.0333,0.00954,0.753,0.368,0.195,149.026,Ostatni Dzień Lata,11DB0zpVgrk3vtsfSXK65I
71,Eiko Ishibashi,"We'll live through the long, long days, and through the long nights",0.233,0.277,-16.049,0.0305,0.292,0.882,0.115,0.0399,110.826,Drive My Car Original Soundtrack,0cFCIaOUszEos2e3ynbp8b
72,Eiko Ishibashi,Drive My Car,0.327,0.338,-14.949,0.027,0.309,0.465,0.157,0.302,113.063,Drive My Car Original Soundtrack,2tFwftU9bB8WIS1spfZPIf
73,鈴木 弘,ウォーク・トール,0.483,0.519,-11.691,0.0309,0.109,0.84,0.153,0.409,99.081,キャット,1M3MUcSSE0CF3cCEJO4v4l
74,Bladee,Chaos Follows,0.418,0.501,-8.781,0.0312,0.719,0.0,0.13,0.134,78.167,Crest,3JA9NLn4RBWjqACyoQhNLV
75,Yung Lean,Sunrise Angel,0.543,0.657,-7.793,0.0639,0.135,0.0,0.107,0.124,127.948,Unknown Memory,3ctY3LpgJUG8KMY18nBWsJ
76,ROSALÍA,LA FAMA (with The Weeknd),0.77,0.302,-7.911,0.0466,0.946,3.38e-05,0.125,0.821,136.01,LA FAMA (with The Weeknd),6dmXZ9B5HdFAyzHeTneYBK
77,Charli XCX,Used To Know Me,0.711,0.931,-4.042,0.0323,0.0914,4.41e-05,0.0892,0.775,118.009,CRASH,5dry5tz8yLcLuOJ3l6ZEQd
78,Charli XCX,Twice,0.779,0.739,-4.769,0.0391,0.186,0.148,0.109,0.38,99.992,CRASH,3phMvUDFwKvFbKABGrmqMV
79,Arcade Fire,The Lightning I,0.401,0.538,-11.028,0.0308,0.00859,0.00667,0.855,0.175,73.868,"The Lightning I, II",50KRoCVyxh3ip8ODC7gJqE
80,Arcade Fire,The Lightning II,0.215,0.891,-6.169,0.0473,0.00303,0.00132,0.306,0.358,180.349,"The Lightning I, II",4hgobGfWedCMII3bdualzM
81,Future Islands,Ran,0.465,0.633,-9.119,0.0327,0.00279,0.0613,0.0676,0.393,144.948,The Far Field,7BTaDw9yXTknLItNtuZFgF
82,ROSALÍA,CANDY,0.638,0.49,-5.726,0.226,0.885,0.0116,0.156,0.403,179.905,MOTOMAMI,70AYiGbc4mWZGEqiipBBDb
83,Big Thief,Heavy Bend,0.682,0.345,-9.403,0.074,0.863,3.34e-06,0.1,0.485,133.263,Dragon New Warm Mountain I Believe In You,6qopJBPesEVIrIT0qMtbNs
84,Yung Lean,Ghosttown,0.529,0.529,-9.035,0.0808,0.074,5.52e-05,0.0921,0.145,126.762,Unknown Memory,2YvyKtXIEpQoLYtuUNp7Lg
85,jonatan leandoer96,Snake Ice,0.601,0.341,-7.442,0.0282,0.074,0.00126,0.0639,0.396,94.992,Blodhundar & Lullabies,2qGXWZx3ofQLNJH4NDHLbS
86,jonatan leandoer96,Vår Sång,0.5,0.385,-12.841,0.0281,0.736,0.51,0.128,0.354,129.828,Blodhundar & Lullabies,7tUQQEMiimQi1ODnGqQlJc
87,jonatan leandoer96,Colours of Tomorrow,0.18,0.313,-11.213,0.0302,0.734,0.074,0.147,0.453,97.813,Blodhundar & Lullabies,2UUeUZEVYsDGAXMqjtZoOn
88,jonatan leandoer96,Skyskrapa,0.24,0.318,-11.855,0.0318,0.912,0.00547,0.0961,0.195,92.832,Blodhundar & Lullabies,0eIMdqDJBA1Te4lFGiqRWV
89,jonatan leandoer96,Highway,0.673,0.404,-8.693,0.0304,0.622,3.69e-05,0.125,0.441,128.01,Blodhundar & Lullabies,7sBlujymXuOBWjI6hY01p9
90,jonatan leandoer96,Radio Lean,0.272,0.468,-12.556,0.187,0.533,0.0319,0.226,0.118,79.343,Blodhundar & Lullabies,6mhCkSrNtHlXJWtDdE1J4t
91,Yung Lean,Sandman,0.623,0.623,-6.69,0.092,0.0882,0.0,0.0708,0.0785,126.984,Unknown Memory,5sarm65FZkv7Rb13jLu4fL
92,Anderson .Paak,Twilight,0.931,0.601,-8.901,0.0587,0.00129,0.00784,0.1,0.963,120.247,Ventura,1ZFg3nGsUSqkwmMPU9qLHk
93,Yung Lean,Afghanistan,0.729,0.553,-7.677,0.114,0.287,5.93e-05,0.137,0.103,130.085,Warlord (Deluxe),6GWYemCe9Rd05ulzVxDPyz
94,Yung Lean,Trip,0.531,0.906,-6.437,0.0376,0.000922,0.406,0.198,0.512,174.006,Trip,6sQ1IeoCqOF3RjpCitYDWq
95,Yung Lean,Hocus Pocus,0.649,0.818,-6.786,0.0354,0.0924,0.0,0.671,0.208,109.966,Warlord (Deluxe),108IEI9pc04fBMp5CQaUFo
96,Yung Lean,Blinded,0.512,0.644,-5.702,0.0753,0.129,0.0,0.0793,0.3,124.046,Unknown Memory,151MIJFS7zZZQejBZEKLxh
97,JPEGMAFIA,Free The Frail,0.553,0.509,-7.955,0.353,0.515,0.0,0.154,0.264,153.674,All My Heroes Are Cornballs,5r7OKhOQl2vM8SZnCXSQk1
98,Clipse,Nightmares (feat. Bilal & Pharrell Williams),0.619,0.608,-5.713,0.241,0.579,2.11e-05,0.221,0.633,79.683,Hell Hath No Fury,37HUD7Mr1zOIDW1QuOgaZH
99,Jonathan Richman,I Was Dancing In The Lesbian Bar,0.829,0.388,-13.55,0.0421,0.675,0.00263,0.271,0.896,116.5,"I, Jonathan",2UayKZmrsYyjNj6T8frugJ
100,SZA,Kill Bill,0.644,0.728,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.993,SOS,3OHfY25tqY28d16oZczHc8
101,Mariah Carey,All I Want for Christmas Is You,0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35,150.273,Merry Christmas,0bYg9bo50gSsH3LtXe2SQn
102,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,HEROES & VILLAINS,2dHHgzDwk4BJdRwy9uXhTO
103,Drake,Rich Flex,0.561,0.52,-9.342,0.244,0.0503,1.86e-06,0.355,0.424,153.15,Her Loss,1bDbXMyjaUIooNwFE9wn0N
104,SZA,Blind,0.461,0.279,-11.776,0.0373,0.911,0.0,0.205,0.599,114.225,SOS,2CSRrnOEELmhpq8iaAi9cd
105,SZA,Nobody Gets Me,0.358,0.284,-8.285,0.0285,0.805,0.0,0.183,0.276,99.796,SOS,5Y35SjAfXjjG0sFQ3KOxmm
106,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],0.526,0.606,-5.3,0.259,0.152,2.36e-06,0.194,0.492,116.622,HEROES & VILLAINS,0vjeOZ3Ft5jvAi9SBFJm1j
107,Ariana Grande,Santa Tell Me,0.525,0.621,-7.364,0.116,0.0489,0.0,0.294,0.591,191.9,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb
108,SZA,Love Language,0.707,0.261,-10.139,0.0784,0.853,0.0,0.127,0.545,65.038,SOS,1eIXYZWEfJO3Na2LCCnIJE
109,SZA,Low,0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044,SOS,2GAhgAjOhEmItWLfgisyOn
110,SZA,Seek & Destroy,0.651,0.647,-5.415,0.0654,0.437,0.175,0.205,0.345,152.069,SOS,6eT2V7nKXyMf47TwPbtgAD
111,Folá,O Holy Night,0.228,0.393,-5.069,0.0302,0.81,0.0,0.0984,0.179,101.43,O Holy Night,72iX7WqoSAeioe5dfsU9kJ
112,SZA,Snooze,0.559,0.551,-7.231,0.132,0.141,0.0,0.11,0.392,143.008,SOS,4iZ4pt7kvcaH6Yo8UoZ4s2
113,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),0.684,0.671,-4.392,0.0464,0.189,2.37e-05,0.122,0.156,88.048,HEROES & VILLAINS,2Hh3ETdQKrmSI3QS0hme7g
114,SZA,Used (feat. Don Toliver),0.734,0.689,-6.454,0.0871,0.532,8.47e-05,0.322,0.705,149.579,SOS,1TweDM3JC49LNeelLVg3yX
115,Oludee,Joyful / Hark the Herald (Medley),0.588,0.335,-6.038,0.0258,0.448,0.0,0.274,0.271,91.984,Joyful / Hark the Herald (Medley),4sfRNgvo5VoGCQZi4KEtnL
116,SZA,Shirt,0.824,0.453,-9.604,0.0968,0.146,0.0273,0.0896,0.552,119.959,Shirt,34ZAzO78a5DAVNrYIGWcPm
117,SZA,SOS,0.507,0.657,-7.356,0.233,0.669,6.97e-06,0.0947,0.506,119.159,SOS,5xMw6qCcpd2gBXPGTegC4W
118,TDNSP,Wickedness,0.815,0.433,-7.316,0.0631,0.389,0.00642,0.133,0.584,120.018,Wickedness,5AnLHkBAbj8cwS8dtTg937
119,Krista,condition,0.818,0.644,-7.365,0.115,0.116,2.26e-06,0.102,0.52,104.964,vices & virtues,61h9ndskAQj7yvYEvUnxWf
120,SZA,Special,0.604,0.199,-11.831,0.05,0.777,0.0,0.109,0.191,76.134,SOS,6RQ5IwG7uADz9LDWliJGjU
121,SZA,Ghost in the Machine (feat. Phoebe Bridgers),0.624,0.433,-9.572,0.0467,0.837,0.0294,0.113,0.589,124.979,SOS,4h5x3XHLVYFJaItKuO2rhy
122,SZA,Open Arms (feat. Travis Scott),0.665,0.59,-7.608,0.161,0.763,0.0132,0.147,0.216,77.559,SOS,0xaFw2zDYf1rIJWl2dXiSF
123,Official HIGE DANdism,Subtitle,0.649,0.683,-6.49,0.0424,0.0313,0.0,0.118,0.381,130.0,Subtitle,4zrKPIygugUDKGFEjVwpSB
124,SZA,Smoking on my Ex Pack,0.466,0.676,-8.097,0.38,0.241,0.00318,0.224,0.333,81.227,SOS,4jTs7ny5eSRnKTzxdrFv5I
125,Mirrikle,Open,0.832,0.568,-4.923,0.158,0.454,0.0,0.139,0.76,98.068,Open,2lLLcL0R5cXotP88uPbK9k
126,Taylor Swift,Anti-Hero,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,0.142,0.533,97.008,Midnights,0V3wPSX9ygBnCm8psDIegu
127,SZA,Notice Me,0.724,0.68,-6.822,0.117,0.275,9.91e-05,0.11,0.777,159.919,SOS,4fnNBPN9W6AoOYSQS3FJxT
128,SZA,Conceited,0.791,0.458,-8.236,0.0673,0.0486,4.08e-05,0.106,0.772,150.046,SOS,4hTej08FutmriOs7S1hWWy
129,SZA,F2F,0.533,0.74,-5.767,0.0359,0.089,2.95e-06,0.337,0.465,89.934,SOS,2e2AXpIiJpet5b4qg85Gh6
130,SZA,Good Days,0.436,0.655,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002,Good Days,3YJJjQPAbDT7mGpX3WtQ9A
131,SZA,Far,0.612,0.549,-7.401,0.0833,0.672,0.000203,0.163,0.477,115.915,SOS,74NI58MQexwZjNu1Gu6GjT
132,SZA,I Hate U,0.535,0.388,-9.805,0.155,0.507,0.0,0.11,0.412,106.703,I Hate U,5dXWFMwD7I7zXsInONVl0H
133,SZA,Too Late,0.445,0.681,-7.558,0.0829,0.781,0.000789,0.386,0.351,127.541,SOS,4rAg5bbrdZX00mXXhLvYXj
134,Bobby Helms,Jingle Bell Rock,0.754,0.424,-8.463,0.0363,0.643,0.0,0.0652,0.806,119.705,Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol),7vQbuQcyTflfCIOu3Uzzya
135,Drake,Spin Bout U,0.773,0.701,-6.386,0.0512,0.01,0.0,0.163,0.203,129.963,Her Loss,2ZL7WZcjuYKi1KUDtp4kCC
136,SZA,Gone Girl,0.428,0.439,-7.674,0.0591,0.57,0.0,0.153,0.418,150.007,SOS,2Sjx8DWZO5zaTyTAmgo2gY
137,Chris Brown,Under The Influence,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,Indigo (Extended),5IgjP7X4th6nMNDh4akUHb
138,Sam Smith,Unholy (feat. Kim Petras),0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,131.121,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG
139,Michael Bublé,It's Beginning to Look a Lot like Christmas,0.339,0.214,-11.714,0.0375,0.908,7.47e-06,0.341,0.363,94.775,Christmas (Deluxe Special Edition),5a1iz510sv2W9Dt1MvFd5R
140,Yaba Buluku Boyz,Wa Kula (Zacaria),0.894,0.579,-11.296,0.0817,0.0833,2.92e-05,0.019,0.78,112.026,Wa Kula (Zacaria),13vm93aPWfMs6lnKAVDoLR
141,Metro Boomin,Umbrella (with 21 Savage & Young Nudy),0.822,0.788,-3.634,0.173,0.0838,0.000173,0.359,0.389,111.016,HEROES & VILLAINS,2Yt4SXIgmoaPZHGdRafp4P
142,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],0.671,0.658,-5.567,0.309,0.189,8.66e-05,0.147,0.257,87.933,HEROES & VILLAINS,4WuOWVnAqvEQxgSRrspBgt
143,RAYE,Escapism.,0.538,0.742,-5.355,0.114,0.138,4.67e-05,0.0934,0.25,96.107,Escapism. / The Thrill Is Gone.,5Z2MiIZ5I3jJvvmeWMLbOQ
144,Andy Williams,It's the Most Wonderful Time of the Year,0.24,0.598,-8.435,0.0369,0.766,0.0,0.117,0.776,201.629,The Andy Williams Christmas Album,5hslUAKq9I9CG2bAulFkHN
145,Kelly Clarkson,Underneath the Tree,0.509,0.812,-5.438,0.0537,0.0013,1.99e-05,0.214,0.689,159.876,Wrapped In Red,3nAp4IvdMPPWEH9uuXFFV5
146,Metro Boomin,Raindrops (Insane) [with Travis Scott],0.796,0.539,-5.974,0.0433,0.103,0.0,0.343,0.123,111.988,HEROES & VILLAINS,1pacwLXyRO47ka0v6LTIiY
147,Metro Boomin,Trance (with Travis Scott & Young Thug),0.571,0.549,-7.38,0.404,0.18,0.0,0.168,0.447,119.497,HEROES & VILLAINS,5wG3HvLhF6Y5KTGlK0IW3J
148,The Weeknd,Die For You,0.582,0.525,-7.163,0.0627,0.111,0.0,0.134,0.51,133.249,Starboy,2Ch7LmS7r2Gy2kc64wv3Bz
149,Metro Boomin,Metro Spider (with Young Thug),0.709,0.734,-5.027,0.125,0.0411,0.0,0.346,0.245,143.087,HEROES & VILLAINS,2VtgzixdB967bHDNu5A1nh
150,Steve Lacy,Bad Habit,0.686,0.507,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955,Bad Habit,5CM4UuQ9Gnd6K2YyKGPMoK
151,Drake,Major Distribution,0.908,0.546,-10.491,0.323,0.0127,0.0,0.0707,0.225,131.016,Her Loss,46s57QULU02Voy0Kup6UEb
152,Harry Styles,As It Was,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,173.93,As It Was,4LRPiXqCikLlN15c3yImP7
153,Drake,On BS,0.841,0.358,-8.368,0.591,0.0201,0.0,0.39,0.329,158.014,Her Loss,34tz0eDhGuFErIuW3q4mPX
154,Kenshi Yonezu,KICK BACK,0.577,0.941,-5.17,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,KICK BACK,3khEEPRyBeOUabbmOPJzAG
155,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,0.451,0.24,-14.014,0.0351,0.912,2.45e-06,0.175,0.701,134.009,A Winter Romance,2uFaJJtFpPDc5Pa95XzTvg
156,Bad Bunny,Tití Me Preguntó,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,106.672,Un Verano Sin Ti,1IHWl5LamUGEuP4ozKQSXZ
157,SZA,Forgiveless (feat. Ol' Dirty Bastard),0.668,0.769,-5.25,0.218,0.366,0.0,0.0861,0.469,79.852,SOS,5IcP1PPnleZ2kuwKDyfNC5
158,Metro Boomin,Around Me (feat. Don Toliver),0.693,0.67,-3.537,0.0345,0.0958,0.00857,0.432,0.084,119.907,HEROES & VILLAINS,221qmpQeBNV87sUjQeUTVH
159,Future,WAIT FOR U (feat. Drake & Tems),0.463,0.642,-4.474,0.34,0.314,0.0,0.0686,0.339,83.389,I NEVER LIKED YOU,59nOXPmaKlBfGMDeOVGrIK
160,Lil Baby,Freestyle,0.877,0.517,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,Too Hard,5BbdKBZO0TH0GhfxUfyhL9
161,Metro Boomin,On Time (with John Legend),0.364,0.62,-6.638,0.0555,0.736,0.00225,0.429,0.491,79.904,HEROES & VILLAINS,0YFqKxV9uNu6LUeYkLOKRS
162,Metro Boomin,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],0.521,0.526,-8.691,0.276,0.131,0.000577,0.173,0.179,161.571,HEROES & VILLAINS,1UsQe17Ef7tV1ahFqHEFR3
163,Hikaru Utada,First Love,0.438,0.434,-8.37,0.0371,0.122,0.0,0.15,0.195,179.913,First Love,39HrUxcvKF3jtLz7fUDWXc
164,Morgan Wallen,One Thing At A Time,0.614,0.913,-5.126,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,One Thing At A Time (Sampler),6KGtAlYvgm4W9PoYabFAYE
165,Beyoncé,CUFF IT,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,RENAISSANCE,1xzi1Jcr7mEi9K2RfzLOqS
166,Quavo,HOTEL LOBBY (Unc & Phew),0.821,0.636,-4.479,0.169,0.142,0.0,0.233,0.163,127.961,HOTEL LOBBY (Unc & Phew),0QNNd0qMCDbraS1nQPg3aA
167,Drake,Circo Loco,0.734,0.605,-8.476,0.0699,0.0102,0.0,0.317,0.252,103.976,Her Loss,7GeTsDIc5ykNB6lORO6Cee
168,Wham!,Last Christmas,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,LAST CHRISTMAS,2FRnf9qhLbvw8fu4IBXx78
169,Atila,Juicy,0.73,0.567,-8.961,0.115,0.322,5.86e-05,0.115,0.339,103.003,Juicy,5X9JLGyq3lPAvdY2Vgu77H
170,Various Artists,Christmas (Baby Please Come Home),0.325,0.759,-7.146,0.053,0.395,0.000362,0.0773,0.36,126.627,A Christmas Gift For You From Phil Spector,46pF1zFimM582ss1PrMy68
171,Lil Uzi Vert,Just Wanna Rock,0.486,0.545,-7.924,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,Just Wanna Rock,4FyesJzVpA39hbYvcseO2d
172,Drake,Hours In Silence,0.501,0.403,-11.106,0.119,0.234,0.0,0.267,0.111,118.352,Her Loss,0sSRLXxknVTQDStgU1NqpY
173,Justin Bieber,Mistletoe,0.657,0.56,-9.049,0.0467,0.498,0.0,0.0794,0.854,161.993,Under The Mistletoe (Deluxe Edition),7xapw9Oy21WpfEcib2ErSA
