,artist,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album,track_id
396,The Smiths,Asleep - 2008 Remaster,0.51,0.255,-15.903,0.0291,0.883,0.55,0.0696,0.188,115.115,The Sound of the Smiths (Deluxe; 2008 Remaster),6ylnImVpCCEmXFUD3PZySf
397,Lana Del Rey,God Knows I Tried,0.398,0.428,-8.292,0.0275,0.846,0.0338,0.185,0.111,81.017,Honeymoon,5R65WfxdtxpTNSIloTfIdM
398,Ludovico Einaudi,Fly,0.174,0.178,-18.717,0.0362,0.994,0.861,0.0737,0.0347,167.972,Divenire,4yLSpYlcO0jPPLTa3nW8zN
399,Blondie,Heart Of Glass - Crabtree Remix,0.18,0.206,-14.544,0.0404,0.902,0.000745,0.0591,0.122,86.585,Heart Of Glass (Crabtree Remix),0YA9Ofybww924Dy12PkaXq
400,Foals,Spanish Sahara,0.364,0.565,-10.085,0.0705,0.0306,0.0369,0.108,0.346,128.222,Total Life Forever,3SJWVMRwk5z4Uaff7kGs0d
401,Arca,Piel,0.169,0.167,-18.586,0.036,0.589,0.74,0.0902,0.0377,67.864,Arca,6udFBv3qe6LOh2LfgVmbcY
402,Mitski,Francis Forever,0.535,0.448,-9.167,0.0279,0.00262,1.94e-05,0.115,0.32,101.984,Bury Me At Makeout Creek,6gpSU2C1VJq0xaVIGtQPVi
403,Daniel Johnston,True Love Will Find You in the End,0.551,0.174,-12.116,0.0358,0.948,1.05e-05,0.107,0.135,118.656,1990,6fEjOPaZoxQl3oha9GDJAN
404,Radiohead,True Love Waits,0.401,0.132,-15.569,0.0355,0.938,0.102,0.1,0.0381,136.142,A Moon Shaped Pool,07XaOyTS5hyaWiUK1Bc3bR
405,Arca,Anoche,0.23,0.434,-12.402,0.0554,0.57,0.0,0.115,0.0835,80.44,Arca,5yln92wLGFBH4J5qZi5ghJ
406,Soko,First Love Never Die,0.344,0.364,-12.592,0.0339,0.455,0.188,0.105,0.237,89.354,I Thought I Was An Alien,7dnrJItpF3gZ1OkmH4wUW6
407,Soko,We Might Be Dead By Tomorrow,0.391,0.152,-16.558,0.0391,0.966,0.00197,0.119,0.0974,143.508,I Thought I Was An Alien,49A10weBfgwg4TUM3My7iv
408,Björk,The Gate,0.219,0.252,-8.826,0.0351,0.736,0.0,0.142,0.0388,79.811,Utopia,5px6GXchaOpIB8ImYJvbmI
409,Edward Sharpe & The Magnetic Zeros,Home,0.545,0.59,-6.693,0.0327,0.32,0.000389,0.124,0.127,111.739,Up From Below,10ViidwjGLCfVtGPfdcszR
410,Nicole Dollanganger,Poacher's Pride,0.254,0.275,-5.116,0.0291,0.957,5.7e-05,0.122,0.17,171.969,Natural Born Losers,5InE7NRPIeNayZy5HhbUxD
411,Cigarettes After Sex,Dreaming of You,0.281,0.402,-14.896,0.0471,0.564,0.116,0.133,0.158,132.034,I.,2PzF6KBJtXj1gg28weRapc
412,Zbigniew Preisner,Meeting,0.168,0.0537,-21.0,0.0426,0.562,0.918,0.0677,0.0343,82.278,Requiem for My Friend,3ELIhfz1rj6Vsdo7f6HUjl
413,Radiohead,Videotape,0.581,0.384,-11.195,0.0336,0.697,0.813,0.0889,0.0466,77.412,In Rainbows,3uxhyRdWVXp7GQvERQl6fA
414,Soko,We Might Be Dead By Tomorrow,0.366,0.158,-16.409,0.0402,0.966,0.00312,0.118,0.0792,144.503,I Thought I Was An Alien,3wriDAN59yRNx8FqynZnnb
415,Nick Cave & The Bad Seeds,O Children,0.484,0.554,-7.064,0.0324,0.513,0.00207,0.0533,0.235,121.619,Abattoir Blues / The Lyre of Orpheus,29FQEJUtBAnxWEkux39d7I
416,Adam Repucha,Zabierz mnie do morza,0.322,0.0385,-30.755,0.0377,0.929,0.107,0.327,0.251,86.706,Zabierz mnie do morza,4ExRG0o5KHpHzrCtj4eZzr
417,Różni Wykonawcy,Ach nie mnie jednej,0.729,0.5,-9.244,0.0277,0.326,0.417,0.0779,0.0368,100.015,nowOsiecka,1ufWTtzrvqafw6a08r53ZC
418,Daughter,Medicine,0.215,0.316,-12.201,0.0297,0.135,0.244,0.595,0.19,94.619,The Wild Youth EP,5Zz8mrmVVhOq3iuv8Gh0MX
