,artistName,trackName,plays_count,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
585,ROSALÍA,DESPECHÁ,9,0.954,0.582,-5.744,0.0727,0.235,1.26e-06,0.0572,0.884,130.008
586,Rihanna,Goodnight Gotham,8,0.418,0.672,-5.989,0.0429,0.00686,2.14e-06,0.277,0.353,82.134
587,Rihanna,Goodnight Gotham,8,0.418,0.672,-5.989,0.0429,0.00686,2.14e-06,0.277,0.353,82.134
588,Clams Casino,All I Need,8,0.257,0.484,-10.866,0.0452,0.277,0.794,0.21,0.0954,105.013
589,Clams Casino,All I Need,8,0.257,0.484,-10.866,0.0452,0.277,0.794,0.21,0.0954,105.013
590,Tęskno,Łeb,8,0.39,0.265,-14.93,0.0299,0.682,0.862,0.148,0.212,92.09
591,Tęskno,Łeb,8,0.39,0.265,-14.93,0.0299,0.682,0.862,0.148,0.212,92.09
592,Yung Lean,Agony,8,0.585,0.166,-17.194,0.0334,0.942,0.0069,0.103,0.322,99.916
593,Yung Lean,Agony,8,0.585,0.166,-17.194,0.0334,0.942,0.0069,0.103,0.322,99.916
594,Lorde,Ribs,8,0.525,0.472,-9.277,0.0739,0.534,0.614,0.11,0.0424,127.945
595,Lorde,Ribs,8,0.525,0.472,-9.277,0.0739,0.534,0.614,0.11,0.0424,127.945
596,alt-J,Happier When You’re Gone,8,0.543,0.461,-9.275,0.0372,0.0809,0.123,0.145,0.199,133.998
597,alt-J,Happier When You’re Gone,8,0.543,0.461,-9.275,0.0372,0.0809,0.123,0.145,0.199,133.998
598,Harry Styles,Meet Me in the Hallway,8,0.537,0.383,-6.528,0.0247,0.747,0.00025,0.356,0.339,104.252
599,Harry Styles,Meet Me in the Hallway,8,0.537,0.383,-6.528,0.0247,0.747,0.00025,0.356,0.339,104.252
600,Kendrick Lamar,We Cry Together,8,0.614,0.646,-7.876,0.342,0.224,0.0,0.0809,0.423,142.385
601,Kendrick Lamar,We Cry Together,8,0.614,0.646,-7.876,0.342,0.224,0.0,0.0809,0.423,142.385
602,Kendrick Lamar,Wesley's Theory,8,0.547,0.778,-6.87,0.249,0.367,8.96e-05,0.176,0.57,113.945
603,Kendrick Lamar,Wesley's Theory,8,0.547,0.778,-6.87,0.249,0.367,8.96e-05,0.176,0.57,113.945
604,Dean Blunt,WOOSAH,8,0.418,0.302,-13.929,0.0305,0.544,0.869,0.104,0.16,147.895
605,Dean Blunt,WOOSAH,8,0.418,0.302,-13.929,0.0305,0.544,0.869,0.104,0.16,147.895
606,Kanye West,God Breathed,8,0.341,0.311,-7.482,0.0429,0.291,6.35e-05,0.11,0.0794,96.959
607,Kanye West,God Breathed,8,0.341,0.311,-7.482,0.0429,0.291,6.35e-05,0.11,0.0794,96.959
608,ROSALÍA,DIABLO,8,0.714,0.25,-8.972,0.352,0.81,0.000238,0.0668,0.391,87.984
609,ROSALÍA,DIABLO,8,0.714,0.25,-8.972,0.352,0.81,0.000238,0.0668,0.391,87.984
610,Kendrick Lamar,King Kunta,8,0.889,0.639,-4.721,0.104,0.00517,0.0,0.179,0.461,107.049
611,Kendrick Lamar,King Kunta,8,0.889,0.639,-4.721,0.104,0.00517,0.0,0.179,0.461,107.049
612,JPEGMAFIA,WHAT KIND OF RAPPIN' IS THIS?,8,0.373,0.967,-1.36,0.202,0.253,7.27e-05,0.499,0.666,139.03
613,JPEGMAFIA,WHAT KIND OF RAPPIN' IS THIS?,8,0.373,0.967,-1.36,0.202,0.253,7.27e-05,0.499,0.666,139.03
614,Mac Miller,Funeral,8,0.659,0.609,-6.976,0.157,0.655,7.69e-06,0.108,0.377,74.005
615,Mac Miller,Funeral,8,0.659,0.609,-6.976,0.157,0.655,7.69e-06,0.108,0.377,74.005
616,Cocteau Twins,Heaven or Las Vegas,8,0.202,0.804,-5.465,0.0383,6.97e-05,0.00775,0.081,0.418,179.911
617,Cocteau Twins,Heaven or Las Vegas,8,0.202,0.804,-5.465,0.0383,6.97e-05,0.00775,0.081,0.418,179.911
618,The Ebonys,It's Forever - Interlude,8,0.544,0.196,-16.385,0.0286,0.77,0.0249,0.622,0.0,97.806
619,The Ebonys,It's Forever - Interlude,8,0.544,0.196,-16.385,0.0286,0.77,0.0249,0.622,0.0,97.806
620,Kanye West,Guilt Trip,8,0.439,0.666,-6.078,0.0754,0.159,9.56e-06,0.129,0.579,137.9
621,Kanye West,Guilt Trip,8,0.439,0.666,-6.078,0.0754,0.159,9.56e-06,0.129,0.579,137.9
622,Kendrick Lamar,FEEL.,8,0.746,0.798,-8.382,0.349,0.137,0.0,0.139,0.553,109.968
623,Kendrick Lamar,FEEL.,8,0.746,0.798,-8.382,0.349,0.137,0.0,0.139,0.553,109.968
624,Stromae,Déclaration,8,0.469,0.526,-8.202,0.266,0.244,0.0,0.0759,0.464,152.678
625,Stromae,Déclaration,8,0.469,0.526,-8.202,0.266,0.244,0.0,0.0759,0.464,152.678
626,Kendrick Lamar,ELEMENT.,8,0.748,0.705,-4.547,0.485,0.204,0.0,0.246,0.483,189.891
627,Kendrick Lamar,ELEMENT.,8,0.748,0.705,-4.547,0.485,0.204,0.0,0.246,0.483,189.891
628,Stromae,Mauvaise journée,8,0.569,0.669,-8.849,0.18,0.647,0.0,0.137,0.705,73.882
629,Stromae,Mauvaise journée,8,0.569,0.669,-8.849,0.18,0.647,0.0,0.137,0.705,73.882
630,Stromae,Bonne journée,8,0.839,0.503,-8.973,0.356,0.51,0.0,0.0959,0.63,112.956
631,Stromae,Bonne journée,8,0.839,0.503,-8.973,0.356,0.51,0.0,0.0959,0.63,112.956
632,Stromae,La solassitude,8,0.569,0.536,-9.654,0.42,0.653,0.0,0.177,0.629,107.277
633,Stromae,La solassitude,8,0.569,0.536,-9.654,0.42,0.653,0.0,0.177,0.629,107.277
634,Rihanna,James Joint,8,0.399,0.203,-11.649,0.0298,0.66,0.000163,0.27,0.405,134.202
635,Rihanna,James Joint,8,0.399,0.203,-11.649,0.0298,0.66,0.000163,0.27,0.405,134.202
636,ROSALÍA,Con Altura,8,0.882,0.689,-4.027,0.124,0.39,0.00325,0.0501,0.746,97.963
637,ROSALÍA,Con Altura,8,0.882,0.689,-4.027,0.124,0.39,0.00325,0.0501,0.746,97.963
638,Yves Tumor,Licking An Orchid,8,0.67,0.528,-9.372,0.0323,0.0565,0.00117,0.102,0.628,87.965
639,Yves Tumor,Licking An Orchid,8,0.67,0.528,-9.372,0.0323,0.0565,0.00117,0.102,0.628,87.965
640,Charli XCX,Crash,8,0.688,0.905,-3.361,0.054,0.378,0.0,0.411,0.85,112.075
641,Charli XCX,Crash,8,0.688,0.905,-3.361,0.054,0.378,0.0,0.411,0.85,112.075
642,"Tyler, The Creator",IGOR'S THEME,8,0.467,0.672,-7.371,0.377,0.00559,0.243,0.607,0.0648,163.1
643,"Tyler, The Creator",IGOR'S THEME,8,0.467,0.672,-7.371,0.377,0.00559,0.243,0.607,0.0648,163.1
644,Steve Lacy,Buttons,8,0.779,0.372,-6.252,0.0284,0.195,0.000324,0.703,0.327,129.968
645,Steve Lacy,Buttons,8,0.779,0.372,-6.252,0.0284,0.195,0.000324,0.703,0.327,129.968
646,Harry Styles,Boyfriends,8,0.417,0.202,-10.976,0.0357,0.935,0.0,0.108,0.323,118.029
647,Harry Styles,Boyfriends,8,0.417,0.202,-10.976,0.0357,0.935,0.0,0.108,0.323,118.029
648,Big Thief,"12,000 Lines",8,0.675,0.279,-11.793,0.0311,0.851,0.000194,0.106,0.363,127.337
649,Big Thief,"12,000 Lines",8,0.675,0.279,-11.793,0.0311,0.851,0.000194,0.106,0.363,127.337
650,Kendrick Lamar,Worldwide Steppers,8,0.521,0.47,-11.147,0.366,0.746,0.000245,0.0741,0.51,77.375
651,Kendrick Lamar,Worldwide Steppers,8,0.521,0.47,-11.147,0.366,0.746,0.000245,0.0741,0.51,77.375
652,Hania Rani,Malasana,8,0.245,0.077,-25.633,0.0305,0.957,0.843,0.121,0.0677,73.999
653,Hania Rani,Malasana,8,0.245,0.077,-25.633,0.0305,0.957,0.843,0.121,0.0677,73.999
654,Drake,Texts Go Green,8,0.765,0.627,-4.607,0.0622,0.000916,0.195,0.0847,0.536,118.997
655,Drake,Texts Go Green,8,0.765,0.627,-4.607,0.0622,0.000916,0.195,0.0847,0.536,118.997
656,Little Simz,Two Worlds Apart,8,0.459,0.637,-7.18,0.127,0.608,0.0,0.145,0.408,140.593
657,Little Simz,Two Worlds Apart,8,0.459,0.637,-7.18,0.127,0.608,0.0,0.145,0.408,140.593
658,Playboi Carti,Fell In Luv (feat. Bryson Tiller),8,0.657,0.668,-6.208,0.136,0.0273,0.0,0.32,0.227,162.997
659,Playboi Carti,Fell In Luv (feat. Bryson Tiller),8,0.657,0.668,-6.208,0.136,0.0273,0.0,0.32,0.227,162.997
660,slowthai,Doorman,8,0.668,0.943,-4.179,0.292,0.26,0.0,0.164,0.247,87.479
661,slowthai,Doorman,8,0.668,0.943,-4.179,0.292,0.26,0.0,0.164,0.247,87.479
662,Miły ATZ,Nowa Norma,8,0.579,0.721,-6.392,0.537,0.302,1.59e-06,0.163,0.585,72.341
663,Miły ATZ,Nowa Norma,8,0.579,0.721,-6.392,0.537,0.302,1.59e-06,0.163,0.585,72.341
664,Frank Ocean,Super Rich Kids,8,0.744,0.393,-9.387,0.1,0.168,0.0,0.228,0.6,60.491
665,Frank Ocean,Super Rich Kids,8,0.744,0.393,-9.387,0.1,0.168,0.0,0.228,0.6,60.491
666,Charli XCX,Vroom Vroom,8,0.835,0.684,-5.818,0.239,0.122,0.0,0.0854,0.517,151.009
667,Charli XCX,Vroom Vroom,8,0.835,0.684,-5.818,0.239,0.122,0.0,0.0854,0.517,151.009
668,Kacperczyk,Brejdaki,8,0.557,0.464,-10.249,0.142,0.541,1.67e-06,0.0539,0.34,160.08
669,Kacperczyk,Brejdaki,8,0.557,0.464,-10.249,0.142,0.541,1.67e-06,0.0539,0.34,160.08
670,slowthai,Nothing Great About Britain,8,0.696,0.84,-3.156,0.211,0.244,0.0,0.361,0.666,105.087
671,slowthai,Nothing Great About Britain,8,0.696,0.84,-3.156,0.211,0.244,0.0,0.361,0.666,105.087
672,Yung Lean,Muddy Sea,8,0.767,0.472,-9.341,0.0884,0.837,1.48e-06,0.0823,0.481,125.027
